local_key,listingId,bedrooms,bathrooms,price,daysOnMarket,interestLevel
102581,6845677,1,1,1675,332,1
113684,6900227,0,1,2450,320,1
120101,6945473,2,1,2575,310,3
84027,6890299,1,1,1750,322,1
80349,7023289,1,1,1931,293,2
55074,6970591,1,1,2750,305,1
75693,7042197,2,0,3300,290,1
24508,7218774,0,1,1750,253,1
93673,6871679,1,1,1600,326,1
68472,7042542,2,2,7000,290,1
7789,7167861,0,1,2050,263,2
43358,7079988,1,1,1750,282,1
34822,7092644,1,1,3690,278,1
88101,6874083,0,1,2612,326,2
121231,6932885,1,1,3575,313,1
33163,7093151,1,1,3200,278,2
37455,7091210,2,1,3195,278,2
42221,7166267,1,1,2500,263,1
91144,6884277,1,1,2350,324,2
66017,7001666,3,2,3250,298,1
60066,7057485,0,1,3095,286,1
16351,7181724,1,1,3500,259,2
117822,6912593,3,1,4500,318,1
51238,6967602,3,2,4400,305,1
16645,7197132,1,1,4650,257,1
73208,6973460,1,1,3300,304,2
95809,6941022,2,2,7350,311,1
19733,7133136,1,1,2175,270,1
88564,6829757,2,1,2800,334,1
29398,7125868,1,1,3400,271,1
52301,7006027,1,1,3295,297,2
32270,7091359,0,1,2400,278,1
70114,6971999,1,1,3695,304,1
119370,6863430,0,1,1875,327,1
101764,6925230,2,1,3450,314,2
97223,6882228,2,2,7200,324,1
118103,6943922,0,1,2550,311,1
16740,7192761,3,2,5995,258,1
33729,7151748,2,2,4625,267,1
6343,7149382,3,1,5900,267,1
58461,7049187,4,2,5600,289,1
101741,6889741,1,1,2695,322,1
15359,7158081,1,1,3600,265,1
4487,7198816,2,1,3300,257,1
17932,7104862,1,1,2595,276,1
89153,6943075,2,2,2800,311,2
79402,6975766,2,2,4905,304,1
75178,7053813,0,1,1800,288,3
8352,7091512,1,1,2900,278,2
38345,7111685,0,1,2675,274,1
107456,6877948,0,1,2650,325,1
67728,7065228,2,1,3200,285,2
59588,7061375,1,1,2750,286,2
35117,7159450,2,1,3295,265,2
10385,7226218,1,1,3995,251,1
31756,7105131,3,2,5500,276,1
70733,7083984,2,2,5252,280,1
73693,7023841,3,1,4000,293,2
111617,6858698,0,1,2600,328,1
110114,6946123,2,1,3250,310,2
79895,7282689,0,1,2960,306,1
91576,6889564,1,1,2650,322,1
58703,7009416,2,1,2500,296,1
45243,7019560,2,1,2525,294,1
28372,7101492,0,1,2095,276,2
101721,6925683,2,1,4225,314,1
57766,7005667,0,1,2390,297,1
13349,7208015,0,1,1875,255,1
2306,7189253,3,2,3600,258,1
91510,6911482,1,1,3315,318,1
97003,6935172,1,1,4200,312,1
52927,7029322,3,1,3200,292,1
11241,7153883,1,1,1455,266,1
110651,6896517,1,1,2000,321,2
36700,7139309,3,2,4950,268,1
58194,7043721,3,1,3700,290,2
63306,7007351,2,1,2875,297,2
93023,6846364,0,0,3000,331,1
111724,6943935,3,1,3700,311,1
42281,7176190,1,1,2500,262,2
31998,7102590,1,1,3395,276,1
19581,7149801,1,1,2100,267,1
102624,6917866,1,1,2995,316,1
18219,7221381,4,2,6000,252,2
68083,6994902,0,1,2000,299,1
76981,6967763,3,1,3025,305,1
57369,7016148,3,2,4000,295,3
81548,6990265,4,2,2400,300,2
10109,7128909,2,1,2700,270,2
31494,7122677,3,2,6595,271,1
29015,7118857,2,2,3150,272,2
61781,7045059,2,1,1750,290,3
7110,7181900,2,1,3350,259,1
26553,7090251,1,1,1975,278,2
90035,6903430,0,1,2200,319,1
67963,7068221,0,1,4450,284,1
3770,7103645,1,1,2825,276,1
107997,6926292,2,1,4295,314,1
41579,7115681,4,4,16000,273,1
122756,6817938,2,1,2100,337,3
6283,7230246,4,1,3850,250,1
103945,6905515,0,1,1575,319,1
115516,6860435,2,1,1650,328,3
32373,7211400,2,1,3095,255,1
23358,7193471,1,1,2850,258,1
121059,6825639,1,1,3621,335,1
25847,7091672,3,2,4950,278,2
10945,7089192,3,2,5000,278,1
14244,7181209,3,2,5000,260,2
122906,6868966,1,1,2175,327,1
11255,7142045,0,1,2850,268,1
89595,6904664,0,1,3350,319,1
75761,7044588,3,2,5375,290,1
37373,7218808,2,2,8400,253,1
47800,7005765,3,1,2650,297,1
14662,7191108,0,1,2810,258,1
43166,7134673,1,1,1675,269,2
119649,6813034,2,2,6500,338,1
110420,6909233,2,1,2595,318,1
43409,7083286,2,1,4800,280,1
34180,7123349,2,2,7250,271,1
90091,6847131,2,1,3500,331,2
50601,7053296,2,1,3395,288,2
43133,7221634,1,1,3500,252,2
34391,7179825,3,1,3275,261,1
55127,7040380,1,1,2100,290,1
60797,6953431,0,1,2200,308,3
121177,6860266,3,1,3300,328,1
3868,7193541,2,1,4150,258,1
18186,7125316,4,3,7500,271,1
47752,6999092,2,1,3350,298,2
8923,7195473,2,1,3150,258,1
48161,6972786,1,1,1900,304,1
67912,6995956,0,1,1825,299,1
32704,7204748,0,1,2125,256,1
32309,7123908,1,1,4200,271,1
11847,7102139,1,1,2300,276,1
87731,6914762,2,1,3900,317,1
85808,6885183,2,1,3700,323,1
773,7090765,0,1,2550,278,1
21977,7180871,2,1,2650,261,2
14336,7145620,4,2,6495,267,2
50284,7075155,1,1,1626,283,1
49898,7024894,2,2,5130,293,1
96350,6890834,0,1,1755,322,3
47003,7007308,1,1,2300,297,2
103331,6882814,3,1,4200,324,3
1092,7117383,2,2,4370,272,1
43558,6996639,2,1,2900,299,2
107084,6863008,1,1,2195,327,1
27956,7149282,2,1,1795,267,3
91030,6817489,2,2,7995,337,1
52107,7073187,2,1,3295,283,1
72047,6961327,2,1,2500,306,2
9466,7162163,1,1,3190,264,1
91761,6868212,2,1,3195,327,2
41790,7225320,2,1,3350,251,1
95862,6890792,1,1,2495,322,1
67033,7078500,0,1,4650,282,1
26601,7213246,0,1,3100,254,1
38199,7127695,2,1,3761,271,1
90510,6893915,0,1,2300,321,2
102318,6911209,3,2,3300,318,2
35650,7186104,2,1,3350,259,2
17130,7231610,2,1,3280,250,1
75006,7063607,2,1,2450,285,1
57298,6968160,1,1,4095,305,1
30143,7164285,0,1,1850,264,2
96313,6835600,1,1,1600,333,1
65558,7063015,2,1,4200,285,1
88017,6913536,3,2,5495,318,1
58205,7282687,2,1,3323,304,1
90164,6894192,2,1,5900,321,1
47581,6976116,0,1,1950,304,2
2684,7128129,0,1,2500,270,1
117428,6814609,1,1,2450,338,1
110858,6919243,0,1,1500,316,3
85027,6862743,3,1,4150,328,1
7392,7100801,2,1,3700,276,1
47039,6972359,0,1,2125,304,1
100498,6908210,2,1,3600,319,1
84965,6848807,2,1,5422,331,1
26589,7234015,2,1,6000,250,1
74049,7019366,2,1,2600,294,1
87804,6918708,1,1,3500,316,2
96803,6813367,1,1,3700,338,2
35325,7100751,2,1,4195,276,1
57106,6964065,1,1,3288,306,2
119468,6903498,1,1,3250,319,1
73156,6983958,0,1,3150,302,1
8736,7218549,2,1,4000,253,1
59181,7028582,1,1,2450,292,1
109803,6928779,1,1,3225,313,1
116433,6837970,3,1,4895,333,2
60716,6999702,2,2,5584,298,1
74375,7031146,2,1,2900,292,3
52170,7040854,3,1,2900,290,1
40639,7128947,3,1,2100,270,3
72034,6979090,0,1,2650,303,2
24937,7160877,5,2,7500,265,1
105216,6893902,2,1,3200,321,2
68693,7057110,1,1,1995,286,1
49462,7033306,3,1,4850,292,1
51048,6993478,0,1,2700,299,1
38578,7202021,3,1,3950,257,2
42337,7148454,0,1,2925,267,1
62404,6993284,2,1,3400,299,1
78959,7044468,2,1,3500,290,2
25666,7196986,2,1,2895,257,1
77930,7025330,4,4,24500,293,1
36477,7089149,1,1,2225,278,2
24616,7123948,1,1,2500,271,1
42055,7191669,4,2,6200,258,2
80694,7047899,2,1,1750,289,1
118120,6896485,3,3,13500,321,2
16438,7186301,2,1,2925,259,2
68678,7031290,0,1,2100,292,2
87424,6883262,1,1,3544,324,1
43247,6980878,1,1,1425,303,3
39010,7091124,0,1,2700,278,1
54892,7009762,0,1,2450,296,1
42451,7232435,1,1,2350,250,3
76674,7066356,0,1,2750,285,1
43076,7234004,1,1,2827,250,2
20088,7145001,1,1,1750,267,2
23395,7177554,0,1,3400,262,1
102786,6902861,0,1,1875,320,1
105314,6836780,0,1,2249,333,2
112385,6871440,2,1,5900,326,1
44273,7035819,0,1,3222,291,1
83473,6909874,4,1,7495,318,2
32200,7150359,0,1,2300,267,1
90134,6819599,0,1,2500,337,1
37219,7233365,3,2,6095,250,1
119836,6847009,0,1,2395,331,1
78054,7058332,2,1,3200,286,2
81423,6958711,0,1,2750,307,1
53947,7002369,2,1,2850,298,3
93402,6893095,3,1,2900,321,1
98476,6885369,1,1,3200,323,1
3158,7156122,1,1,1850,265,1
108617,6891138,0,1,2300,322,2
72767,7062839,3,2,5100,285,1
62887,6994870,0,1,2615,299,1
57169,7069600,1,1,1925,284,1
69796,6973650,1,1,3200,304,1
110603,6931488,1,1,2300,313,2
104096,6874409,2,1,2995,326,1
85096,6931048,0,1,1690,313,1
98515,6926573,1,1,3185,314,2
81214,6996621,0,1,1900,299,1
95839,6929400,2,1,2295,313,2
50279,6968373,0,1,1500,305,3
32707,7092970,2,1,3550,278,1
34987,7219477,3,1,2750,253,2
93632,6925593,0,1,3800,314,1
2768,7168927,0,1,1995,263,2
18635,7095875,2,1,3100,277,1
17475,7207271,3,1,5300,255,1
67436,7020071,1,1,2750,294,1
27811,7190867,2,1,3200,258,1
115342,6920819,0,1,2100,316,1
104242,6906610,3,3,19950,319,1
50608,7023565,0,1,1800,293,2
36455,7179262,1,1,3415,261,1
2161,7174497,1,1,3650,262,1
10279,7102487,0,1,2500,276,2
25868,7132121,0,1,2500,270,2
13468,7176558,2,1,6375,262,1
82122,7037274,2,1,2500,291,1
3283,7196607,2,1,2380,257,1
